TIME,THRUST,ALTITUDE,SPEED,GROUNDSPEED,TWR,AoA,APOAPSIS,PERIAPSIS
105.92,0,9293.25615545549,239.807359195084,159.11755671125,0,0.343688688273893,10942.3718233388,-6361363.0273712
106.12,0,9257.28426068928,239.789627787244,158.174084012324,0,0.334978568968125,10921.2772886865,-6361379.60286901
106.32,0,9221.15151242074,239.776135627134,157.236388366883,0,0.340273402175008,10899.9414209081,-6361395.90530255
106.52,0,9184.8595485799,239.766434701816,156.304708720842,0,0.362067636124534,10878.3526641773,-6361411.95789652
106.72,0,9148.41000014916,239.76046831659,155.37870797247,0,0.382845752374152,10856.5183501029,-6361427.74826039
106.92,0,9111.8044843208,239.758004799497,154.458034563142,0,0.393319579326107,10834.441580371,-6361443.28528145
107.12,0,9075.04459174164,239.758633211309,153.542228608631,0,0.388848542340696,10812.1225931514,-6361458.57260806
107.32,0,9038.13189033419,239.762167403388,152.631057259129,0,0.37141229251096,10789.5634029331,-6361473.60413777
107.52,0,9001.06793453638,239.768414146596,151.724357383431,0,0.347762694414659,10766.7646600287,-6361488.37517623
107.72,0,8963.85427992884,239.777203522016,150.822135664267,0,0.326638893515844,10743.7248985441,-6361502.88263921
107.92,0,8926.49249709398,239.788420333632,149.924541407799,0,0.315732023329248,10720.4418187225,-6361517.12588945
108.12,0,8888.98417661805,239.80195300723,149.031685382054,0,0.318953714188342,10696.9138670843,-6361531.10890721
108.32,0,8851.33092552237,239.817661595631,148.143627394634,0,0.333228285160516,10673.1396188932,-6361544.83550422
108.52,0,8813.53434989415,239.835307626468,147.260186628669,0,0.349904641727342,10649.1188701764,-6361558.31628054
108.72,0,8775.59604605846,239.854699570684,146.381102020952,0,0.359664649635285,10624.8536942974,-6361571.55668171
108.92,0,8737.51758302562,239.875636803299,145.506021652227,0,0.357503138612122,10600.3471667571,-6361584.56182099
109.12,0,8699.30050100386,239.897924252751,144.634611981378,0,0.343971300396839,10575.6020676913,-6361597.33165871
109.32,0,8660.94632159267,239.921348997573,143.766681949603,0,0.324405452268956,10550.6184966508,-6361609.86386621
109.52,0,8622.45655745175,239.945880803697,142.902230072247,0,0.306002457537269,10525.3981878152,-6361622.15419847
109.72,0,8583.83272461593,239.971367287513,142.041331528578,0,0.295485701505551,10499.9387545437,-6361634.20089391
109.92,0,8545.07635247987,239.99779359014,141.184171213791,0,0.296400887251514,10474.2396404389,-6361646.00337405
110.12,0,8506.1889855573,240.025011884313,140.330787497262,0,0.306793809268402,10448.2991991369,-6361657.56714795
110.32,0,8467.1721684644,240.05288159783,139.481071515996,0,0.319758790754946,10422.1180749089,-6361668.8981682
110.52,0,8428.02742967475,240.081147697021,138.634783127177,0,0.327675255640618,10395.6958984425,-6361680.00788615
110.72,0,8388.7563007893,240.109850660323,137.79179828417,0,0.32663053071092,10369.037850962,-6361690.89171312
110.92,0,8349.36025367677,240.138706834866,136.951454839325,0,0.315206506786679,10342.1485712742,-6361701.56882912
111.12,0,8309.8407528121,240.167670243625,136.113847795266,0,0.298502390020338,10315.0277594281,-6361712.03296667
111.32,0,8270.19925233349,240.196558100521,135.278836700788,0,0.28306350359129,10287.6750287963,-6361722.2819555
111.52,0,8230.43720098492,240.225389801411,134.446568628937,0,0.274308606642387,10260.0909526339,-6361732.31214474
111.72,0,8190.5560569847,240.254090229041,133.61713081771,0,0.275100007364361,10232.2746531283,-6361742.12329839
111.92,0,8150.55728618614,240.282590865725,132.790602397675,0,0.283368142602385,10204.2255584151,-6361751.71828803
112.12,0,8110.44235745724,240.310779278742,131.966908028073,0,0.293267796984511,10175.9441274842,-6361761.10491817
112.32,0,8070.21273039747,240.338523504812,131.145852817303,0,0.298605656633408,10147.431905047,-6361770.29262372
112.52,0,8029.86984656751,240.365685457119,130.327173018602,0,0.296002096397785,10118.691116224,-6361779.29052617
112.72,0,7989.41512608528,240.392189687995,129.51064449305,0,0.286162188316548,10089.7248921059,-6361788.10339925
112.92,0,7948.84996673092,240.417912720578,128.69607351605,0,0.272708836196423,10060.5346819693,-6361796.73221596
113.12,0,7908.17575633433,240.442871655532,127.883508262205,0,0.260755648984971,10031.1221537311,-6361805.17490683
113.32,0,7867.39387610089,240.467003561988,127.07298615308,0,0.254420995767829,10001.4871531408,-6361813.42891093
113.52,0,7826.50572044961,240.490213107867,126.264586243275,0,0.255826971659447,9971.62821179815,-6361821.49445328
113.72,0,7785.5126811862,240.512466540726,125.458344389378,0,0.262345377825762,9941.54595474899,-6361829.37422179
