MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__SRFPROGRADE_X,__SRFPROGRADE_Y,__SRFPROGRADE_Z,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
215.51,49.7400014996529,49.7400014996529,155720.811322696,5171.76240714302,5132.34887049078,13.8031390055757,2.48568570294035,0,3.60352826118469,138.006384968812,199645.806457874,-4175236.45446531,3.26194930076599,277.890625,314.594787597656,-0.987529277801514,-0.0979909002780914,0.123222291469574,-0.989320814609528,-0.0907203257083893,0.114079684019089,-0.0913164615631104,0.995821952819824,-1.30385160446167E-08,1
215.67,49.7400014996529,49.7400014996529,155822.751799623,5173.78515618614,5134.44162367876,13.8129734985168,2.48735287618726,0,3.60096263885498,138.022757553746,199722.797798254,-4172935.78318965,3.26196813583374,277.877410888672,314.594451904297,-0.987539708614349,-0.0980530977249146,0.123089134693146,-0.989329099655151,-0.0907804369926453,0.113959521055222,-0.0913756266236305,0.995816588401794,5.05242496728897E-08,1
215.83,49.7400014996529,49.7400014996529,155924.622024409,5175.80968165651,5136.53603303119,13.8228210993978,2.48894412478732,0,3.59839725494385,138.039344844232,199799.802257789,-4170631.2674557,3.26198887825012,277.863922119141,314.5947265625,-0.987550139427185,-0.0981153249740601,0.122956246137619,-0.989337563514709,-0.0908404886722565,0.113839477300644,-0.0914348587393761,0.995810985565186,8.06758180260658E-08,1
215.99,49.7400014996529,49.7400014996529,156026.422045625,5177.83597662258,5138.63209469889,13.8326836686434,2.49045759099335,0,3.59583163261414,138.056142035977,199876.816572936,-4168322.90374494,3.26199579238892,277.850067138672,314.595092773438,-0.987560510635376,-0.098177433013916,0.122823357582092,-0.989345908164978,-0.0909003913402557,0.113719463348389,-0.0914938822388649,0.99580579996109,-1.81607902050018E-07,1
216.15,49.7400014996529,49.7400014996529,156128.151911718,5179.86406756633,5140.72983650926,13.8425594033302,2.49189036296166,0,3.593266248703,138.073149419038,199953.840200129,-4166010.65533675,3.26201963424683,277.8359375,314.594635009766,-0.987570643424988,-0.0982396602630615,0.122691005468369,-0.989354014396667,-0.0909604430198669,0.113599926233292,-0.0915531814098358,0.995800256729126,-6.34463503956795E-08,1
216.31,49.7400014996529,49.7400014996529,156229.811679489,5181.89476475407,5142.83006301433,13.8524538484349,2.49326508794093,0,3.59069967269897,138.090429783523,200030.89969199,-4163693.66435126,3.26202988624573,277.821502685547,314.594787597656,-0.987581133842468,-0.0983018577098846,0.122558176517487,-0.989362239837646,-0.0910204350948334,0.113480031490326,-0.0916121602058411,0.995794773101807,1.3329554349184E-07,1
216.47,49.7400014996529,49.7400014996529,156331.401438471,5183.92973942411,5144.9344312744,13.8623735017069,2.49457560552471,0,3.588130235672,138.108116168968,200108.052229503,-4161370.16784745,3.26203680038452,277.806793212891,314.595275878906,-0.98759138584137,-0.0983638465404511,0.122425615787506,-0.989370465278625,-0.0910802781581879,0.113360404968262,-0.0916712656617165,0.995789468288422,-1.3026874512434E-07,1
216.63,49.7400014996529,49.7400014996529,156432.921288428,5185.96900363846,5147.04295490805,13.8723184410849,2.49582209076981,0,3.58555793762207,138.126208239627,200185.296823174,-4159040.13659478,3.26205039024353,277.791809082031,314.594696044922,-0.987601459026337,-0.0984259843826294,0.122293621301651,-0.98937851190567,-0.0911402404308319,0.113241165876389,-0.0917304009199142,0.995783925056458,1.0139774531126E-07,1
216.79,49.7400014996529,49.7400014996529,156534.371294422,5188.01053590954,5149.15363237709,13.8822795073159,2.49703817222295,0,3.58298516273499,138.144542781926,200262.561977657,-4156705.67730722,3.26204514503479,277.776580810547,314.594604492188,-0.987611651420593,-0.0984881222248077,0.122161358594894,-0.989386737346649,-0.0912002325057983,0.113121747970581,-0.0917893052101135,0.995778560638428,-5.70435076951981E-08,1
216.95,49.7400014996529,49.7400014996529,156635.751465281,5190.05177888553,5151.26393134955,13.8922456381779,2.49820802520426,0,3.58041477203369,138.1629124565,200339.757193188,-4154369.46768194,3.26205730438232,277.761169433594,314.595275878906,-0.987621903419495,-0.0985501706600189,0.12202912569046,-0.989394962787628,-0.0912600755691528,0.113002151250839,-0.0918484628200531,0.995773136615753,-8.38190317153931E-09,1
217.11,49.7400014996529,49.7400014996529,156737.061768581,5192.09124941585,5153.37238231766,13.9022103398082,2.49936258001463,0,3.57784843444824,138.181198067802,200416.830868773,-4152033.06709079,3.26206064224243,277.745544433594,314.595092773438,-0.987631857395172,-0.0986122190952301,0.121897131204605,-0.989403128623962,-0.0913200378417969,0.112882912158966,-0.0919075235724449,0.995767593383789,3.01515683531761E-08,1
217.27,49.7400014996529,49.7400014996529,156838.30215894,5194.12876192842,5155.47880248251,13.9121717197684,2.50049609832251,0,3.5752866268158,138.199382641879,200493.775360737,-4149696.67283427,3.26206231117249,277.729766845703,314.594543457031,-0.987642049789429,-0.0986744165420532,0.12176525592804,-0.989410936832428,-0.0913800299167633,0.112763971090317,-0.0919666290283203,0.995762169361115,-7.93952494859695E-08,1
217.43,49.7400014996529,49.7400014996529,156939.472602096,5196.16529447253,5157.58416095961,13.9221353074089,2.50156909277484,0,3.57272791862488,138.217544816392,200570.624726369,-4147359.25760429,3.26208448410034,277.713684082031,314.595031738281,-0.987652003765106,-0.0987364649772644,0.121633470058441,-0.989418983459473,-0.0914399325847626,0.112644910812378,-0.0920256823301315,0.99575662612915,-2.66591086983681E-08,1
217.59,49.7400014996529,49.7400014996529,157040.573106038,5198.20317244224,5159.69076449997,13.9321113158831,2.5025912704105,0,3.57016968727112,138.235867803586,200647.457144554,-4145018.36536466,3.26210689544678,277.697326660156,314.595001220703,-0.987662076950073,-0.0987986028194427,0.121501684188843,-0.989426970481873,-0.0914998948574066,0.112525880336761,-0.0920847877860069,0.995751082897186,2.33994796872139E-08,1
217.75,49.7400014996529,49.7400014996529,157141.603730736,5200.24483845337,5161.80103535084,13.9421109486952,2.50352797134979,0,3.56760907173157,138.254546285091,200724.355784315,-4142671.40790636,3.26214623451233,277.680603027344,314.594207763672,-0.987672030925751,-0.0988606810569763,0.121370077133179,-0.989435076713562,-0.091559886932373,0.112406939268112,-0.0921437814831734,0.995745956897736,-2.20839865505695E-07,1
217.91,49.7400014996529,49.7400014996529,157242.564563688,5202.29107647264,5163.91575220352,13.9521370760316,2.50438508924756,0,3.56504535675049,138.273641757295,200801.346232602,-4140317.5408646,3.26220941543579,277.663513183594,314.594268798828,-0.987681925296783,-0.0989226698875427,0.121238529682159,-0.989442944526672,-0.0916197001934052,0.112288117408752,-0.0922030061483383,0.995740473270416,-2.42493115365505E-07,1
