MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,YAW,ROLL,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
71.96,994.976013183594,994.976013183594,24115.8433253262,1131.01689993385,854.497579616612,38.364772545668,2.61662435531616,307.331146240234,178.651153564453,3.64566848709019,0.291141337256848,25.9346256256104,78.4899408115657,53144.1581824552,-6288050.62334184
72.06,995.036437988281,995.036437988281,24190.0008972548,1134.10275135129,857.510652982183,38.416749308763,2.6191782951355,307.255432128906,178.691848754883,3.66871473528208,0.289151267017,25.9011096954346,78.6340745364494,53319.977919681,-6287646.87731845
72.16,995.096313476563,995.096313476563,24264.2814401472,1137.1913992496,860.528165948426,38.4687969783995,2.62175488471985,307.177764892578,178.68244934082,3.69383664538599,0.287169693238053,25.8676223754883,78.778052427662,53495.9487715578,-6287241.50642899
72.26,995.155578613281,995.155578613281,24338.6852815915,1140.28294576251,863.554721798326,38.5209104507993,2.62425875663757,307.102935791016,178.458969116211,3.7157827234391,0.285196079627327,25.8341655731201,78.9213333411788,53671.664382088,-6286833.88848131
72.36,995.214111328125,995.214111328125,24413.2125564953,1143.37892681454,866.585092539609,38.5731107297999,2.6267261505127,307.033599853516,178.427825927734,3.73244967830605,0.283230856283541,25.8007221221924,79.064800201565,53847.7805553386,-6286424.71626092
72.46,995.272155761719,995.272155761719,24487.862418999,1146.48209475053,869.621246324196,38.6254361384368,2.62935423851013,306.96337890625,178.502197265625,3.75018825230427,0.28127466003207,25.7672729492188,79.208667872709,54024.4546031123,-6286013.72095841
72.56,995.329528808594,995.329528808594,24562.6347827241,1149.59422389122,872.667238147817,38.6779030181314,2.63207221031189,306.890869140625,178.392349243164,3.77021561233965,0.279328499547473,25.7338027954102,79.3527362087148,54201.5343333194,-6285600.34825866
72.66,995.386352539063,995.386352539063,24637.5299643995,1152.71652345733,875.725131050681,38.7305397949602,2.63491201400757,306.817230224609,178.542892456055,3.79128797644723,0.277393491293229,25.7002964019775,79.4969524134995,54378.9783626841,-6285184.30848337
72.76,995.442626953125,995.442626953125,24712.5484618805,1155.84978490241,878.793624245687,38.7833531213919,2.63759016990662,306.744689941406,178.481307983398,3.81129885041847,0.275470254351125,25.6667499542236,79.641605007624,54557.003117431,-6284765.76552441
72.86,995.498168945313,995.498168945313,24787.6903710961,1158.99494943332,881.873367515579,38.8363483540187,2.64022207260132,306.671875,178.457412719727,3.83167297080668,0.273558984356502,25.6331558227539,79.7867702634699,54735.6660614125,-6284344.61885105
