MET,THRUST,THRUSTAT,MAXTHRUST,MAXTHRUSTAT,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
4.22,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046832994,2.27922890322534E-05,2.05195232668619E-05,14.3611944718708,115.072743537581,2.06077465401137E-15,1792.88950649164,92.635510340333,-6362518.44449667
4.26,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044588506,2.578598233811E-05,2.54010853634004E-05,14.3611944718708,99.2135127757315,1.90946180225171E-15,1792.88950708468,92.6355103161186,-6362518.44441786
4.32,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719045333564,1.91507187929857E-05,1.04797592455178E-05,14.3611944718708,146.205473631604,2.36534393466533E-15,1792.88950588037,92.6355102695525,-6362518.4444674
4.36,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046693295,2.16046724539199E-05,1.91364688345275E-05,14.3611935520791,116.917746588572,2.3209413697356E-15,1792.88950647163,92.6355103394017,-6362518.44451839
4.42,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719049580395,1.58700936742412E-05,6.69398935676939E-06,14.3611926322875,24.2764644703489,2.21460873408406E-15,1.46920899624092E-06,92.635510545224,-6362518.4441228
4.46,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044607133,2.63898636532688E-05,1.94338856793498E-05,14.361191712496,131.864969011748,2.2983063428715E-15,1792.88950558684,92.635510164313,-6362518.44472164
4.52,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047345221,1.24416415140248E-05,1.02647889828442E-05,14.3611898729135,123.863583477343,2.16246518023076E-15,1792.88950698549,92.6355103030801,-6362518.44402539
4.56,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719049114734,1.92381710323471E-05,1.52786829432014E-05,14.3611889531223,51.8967872719245,2.00710608049859E-15,1.19366166018153E-06,92.6355104781687,-6362518.44423413
4.62,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047997147,2.35206293345564E-05,1.72446206324893E-05,14.3611871135405,46.6791664128037,2.16695222479708E-15,1.63317656642903E-06,92.6355102583766,-6362518.44391963
4.66,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046255574,1.40424547632402E-05,1.25110494135418E-05,14.361185273959,62.3195553591876,2.30731797034692E-15,6.51106006444024E-07,92.6355101345107,-6362518.44418524
4.72,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048211351,1.71958316164781E-05,1.6660167695518E-05,14.3611843541685,74.9837484564968,2.07872893619945E-15,4.34820435657457E-07,92.6355102891102,-6362518.44424083
4.76,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047065824,3.01217421540133E-05,2.95479801042134E-05,14.3611834343781,100.492505624114,2.12086519017289E-15,1792.88950689361,92.635509967804,-6362518.44452864
4.82,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719043666497,2.92585076223681E-05,2.54502605823565E-05,14.3611815947976,118.873492684104,1.78640218662898E-15,1792.889506084,92.6355098588392,-6362518.44437019
4.86,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048770145,1.78188849054254E-05,1.78106336212206E-05,14.3611806750076,91.0152455217716,1.93940026645106E-15,1792.88950748224,92.6355102099478,-6362518.44441845
4.92,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046413898,2.90721464687447E-05,2.71941442076902E-05,14.3611788354278,109.970488075086,1.97020556952696E-15,1792.8895063106,92.6355099640787,-6362518.44483908
4.96,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719042586163,3.66528199504614E-05,2.54887472625369E-05,14.3611779156381,135.25660879369,2.13121899049551E-15,1792.88950487296,92.6355095626786,-6362518.44435916
5.02,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044988975,1.34465526196378E-05,9.73603576990392E-06,14.3611760760591,132.964165520204,2.37272860428985E-15,1792.88950658654,92.6355098597705,-6362518.44442775
5.06,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046935439,1.12746541433566E-05,1.07417671363098E-05,14.3611742364805,71.6138779902266,2.21884317696605E-15,3.49732545146253E-07,92.6355099705979,-6362518.44420899
5.12,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719049338251,2.44508534562418E-05,1.51286509708404E-05,14.3611723969024,37.5815500651132,2.20801150384161E-15,1.96128496554593E-06,92.6355100637302,-6362518.4441598
5.16,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044988975,1.55649238007969E-05,1.51195109493551E-05,14.3611714771135,103.244186230581,2.04715751519548E-15,1792.88950705018,92.6355099715292,-6362518.44467902
5.22,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719045929611,3.01047299813925E-05,2.76503665346631E-05,14.3611714771135,112.591897642446,1.74219728633564E-15,1792.88950629708,92.6355097852647,-6362518.444477
5.26,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719049124047,2.40667620864153E-05,1.42498257605207E-05,14.3611705573247,35.5863683130323,1.77443839336333E-15,1.98028510567383E-06,92.6355100655928,-6362518.4443136
5.32,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048043713,2.19244907868629E-05,1.19792539910312E-05,14.3611705573247,32.44636586865,2.07308920426514E-15,1.87489968084265E-06,92.6355100274086,-6362518.44418157
5.36,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047028571,1.08564533241078E-05,1.07902305768315E-05,14.3611714771135,83.0862016431002,2.06241304394454E-15,1.2225063983351E-07,92.6355099063367,-6362518.44406115
