MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
152.66,49.7887526154518,49.7887526154518,118955.513473511,4405.57825130346,4273.49482348973,10.8466883187509,-78.1637913172814,92.8173431061081,2.8206918646902E-06,4.59022617340088,178.719371184399,214297.757121334,-4960584.00798193
152.76,49.78550106287,49.78550106287,119062.480838828,4405.29505295501,4273.6208235102,10.8497759776179,-77.9927363664595,92.6356790733443,2.78375884604601E-06,4.58862018585205,178.44601205923,214111.516320972,-4960421.8804957
152.86,49.7528722286224,49.7528722286224,119169.281561181,4405.01581464322,4273.75005949363,10.8464590981726,-77.8030445205731,92.4348181607905,2.74757821441922E-06,4.58701515197754,178.172917740944,213925.769701704,-4960257.48495292
152.96,49.7016143798828,49.7016143798828,119275.915758787,4404.74095759162,4273.88281417051,10.8390749710076,-77.5958169445627,92.2152127125081,2.71213699148264E-06,4.58541107177734,177.900203725289,213740.631161942,-4960090.6189161
153.06,49.6421305537224,49.6421305537224,119382.383586686,4404.47085291841,4274.01938935115,10.8298854695413,-77.3726996846574,91.9775624139398,2.67741506405185E-06,4.58380937576294,177.627938020207,213556.164088047,-4959921.06379636
153.16,49.5719528198242,49.5719528198242,119488.685226048,4404.20583851492,4274.16005634421,10.818351251198,-77.1356138795774,91.7227044540033,2.64339934466559E-06,4.58220958709717,177.356184937722,213372.428361192,-4959748.62320678
153.26,49.5038238167763,49.5038238167763,119594.82088621,4403.94621014746,4274.30508324144,10.8072517376468,-76.8860602485597,91.4513075743242,2.6100683207618E-06,4.58061170578003,177.084981033357,213189.454784873,-4959573.10194062
153.36,49.4567100405693,49.4567100405693,119700.790776088,4403.69223335215,4274.45480246714,10.8007283195804,-76.6250152804936,91.1638512663616,2.5774065022324E-06,4.57901620864868,176.814299461873,213007.206835105,-4959394.25463257
153.46,49.4448443055153,49.4448443055153,119806.595068567,4403.44414802275,4274.60961049779,10.8018996441291,-76.3526479565119,90.8605086129172,2.54539679849119E-06,4.57742118835449,176.544052910127,212825.584180338,-4959211.78617419
153.56,49.4719244837761,49.4719244837761,119912.233879385,4403.20219478715,4274.76994811668,10.8115830162201,-76.0679849795224,90.5409429332086,2.51402714324048E-06,4.5758261680603,176.274124864525,212644.455909944,-4959025.36756478
153.66,49.5295807719231,49.5295807719231,120017.707267161,4402.96664253196,4274.93625894004,10.8279620825043,-75.769044285248,90.2043923870803,2.48327522120895E-06,4.57422924041748,176.004416210323,212463.709780104,-4958834.66835347
153.76,49.6007634401321,49.6007634401321,120123.015250353,4402.73782180698,4275.10896366568,10.8473152304797,-75.4533503381788,89.8498504259493,2.45310151453761E-06,4.57263040542603,175.734886215662,212283.294909357,-4958639.37719676
153.86,49.6673830151558,49.6673830151558,120228.15784633,4402.51609752755,4275.28841773517,10.8656893210335,-75.1182735031372,89.4761809048291,2.42345969162023E-06,4.57102918624878,175.465561141998,212103.231121339,-4958439.23339372
153.96,49.723072052002,49.723072052002,120333.135094549,4402.30190331119,4275.47497221011,10.8816875934358,-74.7618460275107,89.0824963743619,2.39433887333039E-06,4.56942653656006,175.19651952109,211923.592006722,-4958233.98122524
154.06,49.7758353948593,49.7758353948593,120437.947054198,4402.09569265642,4275.66902081659,10.8970622791619,-74.3832209977477,88.6683714001525,2.36572093477503E-06,4.56782150268555,174.927826349272,211744.435983185,-4958023.33271783
154.16,49.8216258883476,49.8216258883476,120542.593800678,4401.89790489462,4275.87094883357,10.9109241396789,-73.9823948685756,88.2337574947918,2.33759780906348E-06,4.56621503829956,174.659542076098,211565.816695544,-4957807.00572051
